Time,SmO2,HBDiff
119.53,68.51,49.16
119.58,67.64,48.67
119.67,66.91,48.03
119.79,66.89,47.53
119.88,67.65,47.21
120.03,68.98,47.02
120.09,69.77,46.99
120.18,69.57,47.21
120.30,69.16,47.59
120.39,68.81,47.92
120.51,68.28,48.06
120.57,67.49,48.01
120.66,66.79,47.84
120.78,66.30,47.54
120.87,65.90,47.26
120.96,65.93,47.10
121.08,66.45,47.02
121.17,66.86,46.94
121.26,67.07,46.92
121.38,67.65,47.04
121.53,68.68,47.18
121.56,69.51,47.27
121.68,69.49,47.31
121.77,68.97,47.35
121.86,69.29,47.57
